,CollectDate,Ammmonia Nitrogen (mg/L),Conductivity (µmhos/cm),Dissolved Oxygen (mg/L),Fecal Coliform (CFU/100ml),Nitrate Nitrite (mg/L),Orthophosphate Phosphate (mg/L),pH,Temperature (°C),Total Nitrogen (mg/L),Total Phosphorus (mg/L)
635,1997-10-08,0.023,94.3,3.2,0.0,0.285,0.0057,6.7,10.7,0.322,0.0148
636,1997-10-08,0.03816666666666666,95.1,2.3,0.0,0.21516666666666664,0.010883333333333333,6.7,9.8,0.31950000000000006,0.023283333333333336
637,1997-10-08,0.03816666666666666,95.2,1.7,0.0,0.21516666666666664,0.010883333333333333,6.7,9.5,0.31950000000000006,0.023283333333333336
638,1997-10-08,0.03816666666666666,96.2,1.2,0.0,0.21516666666666664,0.010883333333333333,6.6,9.2,0.31950000000000006,0.023283333333333336
639,1997-10-08,0.03816666666666666,98.4,0.83,0.0,0.21516666666666664,0.010883333333333333,6.7,9.0,0.31950000000000006,0.023283333333333336
640,1997-10-08,0.063,99.1,0.62,0.0,0.319,0.0233,6.7,9.0,0.326,0.0322
642,1997-11-05,0.027,96.5,9.7,4.0,0.18,0.01,7.7,13.2,0.395,0.0156
643,1997-11-05,0.026,96.7,9.0,4.0,0.187,0.0076,7.6,13.0,0.402,0.011
644,1997-11-05,0.029,96.7,8.6,4.0,0.203,0.0071,7.5,12.9,0.421,0.0066
645,1997-11-05,0.048666666666666664,96.7,8.6,4.0,0.23633333333333337,0.015266666666666666,7.5,12.9,0.44333333333333336,0.018016666666666667
646,1997-11-05,0.033,96.4,6.9,4.0,0.268,0.0147,7.3,12.3,0.488,0.0106
647,1997-11-05,0.048666666666666664,96.2,6.6,4.0,0.23633333333333337,0.015266666666666666,7.2,12.2,0.44333333333333336,0.018016666666666667
648,1997-11-05,0.048666666666666664,96.0,5.8,4.0,0.23633333333333337,0.015266666666666666,7.1,12.1,0.44333333333333336,0.018016666666666667
649,1997-11-05,0.048666666666666664,96.0,5.5,4.0,0.23633333333333337,0.015266666666666666,7.1,12.0,0.44333333333333336,0.018016666666666667
650,1997-11-05,0.048666666666666664,96.5,4.7,4.0,0.23633333333333337,0.015266666666666666,7,11.7,0.44333333333333336,0.018016666666666667
651,1997-11-05,0.048666666666666664,97.5,2.3,4.0,0.23633333333333337,0.015266666666666666,6.9,10.9,0.44333333333333336,0.018016666666666667
652,1997-11-05,0.06,102.0,0.33,4.0,0.343,0.0213,6.8,9.7,0.492,0.0251
653,1997-11-05,0.048666666666666664,103.0,0.18,4.0,0.23633333333333337,0.015266666666666666,6.8,9.5,0.44333333333333336,0.018016666666666667
654,1997-11-05,0.117,103.0,0.15,4.0,0.237,0.0309,6.7,9.5,0.462,0.0392
656,1997-12-03,0.034,91.1,8.5,0.0,0.309,0.0118,7.4,10.3,0.443,0.0177
657,1997-12-03,0.034,91.0,8.4,0.0,0.301,0.0123,7.4,10.2,0.429,0.0163
658,1997-12-03,0.033,91.1,8.4,0.0,0.307,0.0151,7.5,10.2,0.438,0.0194
659,1997-12-03,0.03,91.0,8.5,0.0,0.286,0.0137,7.5,10.2,0.423,0.0158
660,1997-12-03,0.036,91.1,8.5,0.0,0.314,0.0113,7.6,10.2,0.411,0.0145
661,1997-12-03,0.031,91.1,8.5,0.0,0.294,0.013,7.7,10.2,0.41,0.0234
663,1998-01-07,0.02,90.9,10.4,7.0,0.343,0.015,7.5,7.9,0.499,0.0176
664,1998-01-07,0.02,90.7,10.3,7.0,0.344,0.0146,7.5,7.9,0.429,0.0165
665,1998-01-07,0.02,90.8,10.2,7.0,0.341,0.0172,7.5,7.8,0.512,0.0168
666,1998-01-07,0.02,90.7,10.2,7.0,0.337,0.0147,7.5,7.8,0.472,0.0178
667,1998-01-07,0.02,90.6,10.3,7.0,0.336,0.0148,7.5,7.8,0.46,0.0138
668,1998-01-07,0.02,90.7,10.3,7.0,0.333,0.0144,7.5,7.7,0.404,0.0234
670,1998-02-03,0.02,92.8,11.8,0.0,0.405,0.0099,7.7,7.1,0.505,0.0178
671,1998-02-03,0.023,92.8,11.6,0.0,0.411,0.0113,7.6,7.1,0.495,0.0151
672,1998-02-03,0.02,92.8,11.5,0.0,0.411,0.0087,7.6,7.1,0.588,0.0186
673,1998-02-03,0.02,92.8,11.5,0.0,0.411,0.0118,7.6,7.1,0.696,0.0186
674,1998-02-03,0.02,92.7,11.5,0.0,0.41,0.0086,7.6,7.1,0.526,0.0176
675,1998-02-03,0.02,92.7,11.4,0.0,0.412,0.0101,7.6,7.1,0.543,0.0167
677,1998-03-03,0.02,96.2,12.6,1.0,0.361,0.0022,8.3,7.7,0.581,0.0178
678,1998-03-03,0.02,96.2,12.4,1.0,0.357,0.0029,8.2,7.5,0.522,0.0132
679,1998-03-03,0.02,96.2,12.2,1.0,0.372,0.0022,8.2,7.5,0.606,0.0137
680,1998-03-03,0.02,96.3,12.1,1.0,0.366,0.002,8.1,7.4,0.539,0.0139
681,1998-03-03,0.02,96.4,11.9,1.0,0.364,0.0027,8.1,7.4,0.66,0.0127
690,1998-04-06,0.02,97.0,12.8,0.0,0.3,0.002,8.9,10.4,0.468,0.0064
691,1998-04-06,0.02,96.8,12.9,0.0,0.3313333333333333,0.002,8.9,10.2,0.5143333333333334,0.014266666666666665
692,1998-04-06,0.02,96.7,12.4,0.0,0.301,0.002,9,9.8,0.529,0.0179
693,1998-04-06,0.02,96.6,12.6,0.0,0.3313333333333333,0.002,8.9,9.6,0.5143333333333334,0.014266666666666665
694,1998-04-06,0.02,96.5,12.5,0.0,0.301,0.002,8.9,9.3,0.46,0.0186
695,1998-04-06,0.02,96.3,12.1,0.0,0.3313333333333333,0.002,8.7,9.0,0.5143333333333334,0.014266666666666665
696,1998-04-06,0.02,96.2,11.6,0.0,0.342,0.002,8.3,8.6,0.493,0.0143
697,1998-04-06,0.02,96.3,11.3,0.0,0.3313333333333333,0.002,8.1,8.2,0.5143333333333334,0.014266666666666665
698,1998-04-06,0.02,96.3,10.3,0.0,0.358,0.002,7.9,8.0,0.52,0.01
699,1998-04-06,0.02,96.8,8.1,0.0,0.386,0.002,7.6,7.6,0.616,0.0184
719,1998-05-05,0.02,105.0,10.4,0.0,0.288,0.002,8.4,16.8,0.437,0.0052
720,1998-05-05,0.02,105.0,10.4,0.0,0.345,0.0025166666666666666,8.4,16.6,0.4995,0.00845
721,1998-05-05,0.02,105.0,10.3,0.0,0.345,0.0025166666666666666,8.4,16.4,0.4995,0.00845
722,1998-05-05,0.02,105.0,10.4,0.0,0.345,0.0025166666666666666,8.4,16.3,0.4995,0.00845
723,1998-05-05,0.02,104.0,11.0,0.0,0.291,0.002,8.5,14.8,0.485,0.005
724,1998-05-05,0.02,104.0,10.9,0.0,0.345,0.0025166666666666666,8.5,14.2,0.4995,0.00845
725,1998-05-05,0.02,103.0,11.2,0.0,0.345,0.0025166666666666666,8.5,12.7,0.4995,0.00845
726,1998-05-05,0.02,103.0,11.2,0.0,0.345,0.0025166666666666666,8.4,12.0,0.4995,0.00845
727,1998-05-05,0.02,102.0,11.2,0.0,0.345,0.0025166666666666666,8.3,11.2,0.4995,0.00845
728,1998-05-05,0.02,102.0,10.9,0.0,0.317,0.002,8.1,10.7,0.494,0.005
729,1998-05-05,0.02,102.0,10.5,0.0,0.345,0.0025166666666666666,7.9,10.1,0.4995,0.00845
730,1998-05-05,0.02,102.0,10.3,0.0,0.345,0.0025166666666666666,7.8,9.7,0.4995,0.00845
731,1998-05-05,0.02,101.0,10.1,0.0,0.345,0.0025166666666666666,7.7,9.4,0.4995,0.00845
732,1998-05-05,0.02,101.0,9.4,0.0,0.345,0.0025166666666666666,7.6,9.1,0.4995,0.00845
733,1998-05-05,0.02,101.0,8.5,0.0,0.372,0.002,7.4,8.6,0.519,0.0054
734,1998-05-05,0.02,101.0,8.1,0.0,0.345,0.0025166666666666666,7.3,8.5,0.4995,0.00845
735,1998-05-05,0.02,101.0,7.0,0.0,0.398,0.0033,7.2,8.1,0.516,0.014
736,1998-05-05,0.02,101.0,6.7,0.0,0.404,0.0038,7.1,8.1,0.546,0.0161
739,1998-06-03,0.02,102.0,10.2,0.0,0.301,0.002,8.1,17.2,0.417,0.0079
740,1998-06-03,0.02,102.0,10.3,0.0,0.302,0.002,8.1,16.3,0.397,0.0089
741,1998-06-03,0.02,101.0,9.8,0.0,0.325,0.002,7.6,13.2,0.491,0.0081
742,1998-06-03,0.02,98.8,8.2,0.0,0.399,0.002,7.1,8.9,0.535,0.0071
743,1998-06-03,0.02,97.8,4.7,0.0,0.405,0.0075,6.7,8.0,0.521,0.0207
744,1998-06-03,0.02,97.8,4.4,0.0,0.4,0.0078,6.7,8.0,0.481,0.0252
747,1998-07-06,0.013,104.0,10.2,1.0,0.162,0.002,8.8,20.7,0.367,0.0064
748,1998-07-06,0.014,104.0,10.5,1.0,0.161,0.002,8.9,19.8,0.397,0.0074
749,1998-07-06,0.017333333333333333,103.0,10.5,1.0,0.301,0.0025,8.5,17.4,0.4638333333333333,0.006966666666666667
750,1998-07-06,0.017333333333333333,103.0,9.8,1.0,0.301,0.0025,7.9,16.1,0.4638333333333333,0.006966666666666667
751,1998-07-06,0.017333333333333333,102.0,9.2,1.0,0.301,0.0025,7.7,14.9,0.4638333333333333,0.006966666666666667
752,1998-07-06,0.017333333333333333,101.0,8.8,1.0,0.301,0.0025,7.5,13.8,0.4638333333333333,0.006966666666666667
753,1998-07-06,0.022,100.0,8.0,1.0,0.308,0.002,7.3,12.3,0.512,0.0064
754,1998-07-06,0.017333333333333333,99.8,7.3,1.0,0.301,0.0025,7.2,11.4,0.4638333333333333,0.006966666666666667
755,1998-07-06,0.017333333333333333,99.5,7.0,1.0,0.301,0.0025,7.2,11.0,0.4638333333333333,0.006966666666666667
756,1998-07-06,0.017333333333333333,99.3,6.8,1.0,0.301,0.0025,7.1,10.3,0.4638333333333333,0.006966666666666667
757,1998-07-06,0.017333333333333333,98.9,6.3,1.0,0.301,0.0025,7,9.7,0.4638333333333333,0.006966666666666667
758,1998-07-06,0.014,98.7,6.3,1.0,0.385,0.002,6.9,9.3,0.518,0.005
759,1998-07-06,0.017333333333333333,98.3,5.4,1.0,0.301,0.0025,6.8,9.0,0.4638333333333333,0.006966666666666667
760,1998-07-06,0.017333333333333333,98.2,5.2,1.0,0.301,0.0025,6.8,8.9,0.4638333333333333,0.006966666666666667
761,1998-07-06,0.017333333333333333,97.9,5.1,1.0,0.301,0.0025,6.8,8.6,0.4638333333333333,0.006966666666666667
762,1998-07-06,0.017333333333333333,97.8,4.3,1.0,0.301,0.0025,6.7,8.5,0.4638333333333333,0.006966666666666667
763,1998-07-06,0.014,97.7,2.7,1.0,0.454,0.002,6.6,8.4,0.504,0.005
764,1998-07-06,0.017333333333333333,97.9,1.5,1.0,0.301,0.0025,6.6,8.3,0.4638333333333333,0.006966666666666667
765,1998-07-06,0.027,97.9,1.4,1.0,0.336,0.005,6.5,8.3,0.485,0.0116
768,1998-08-05,0.01,108.0,9.5,1.0,0.021,0.002,9.1,24.3,0.229,0.0054
769,1998-08-05,0.01,109.0,10.5,1.0,0.026,0.002,9.2,23.4,0.233,0.0059
770,1998-08-05,0.016166666666666666,110.0,10.9,1.0,0.1998333333333333,0.002,9.3,23.0,0.4078333333333333,0.0074
771,1998-08-05,0.016166666666666666,106.0,12.2,1.0,0.1998333333333333,0.002,9.3,19.0,0.4078333333333333,0.0074
772,1998-08-05,0.016166666666666666,106.0,11.3,1.0,0.1998333333333333,0.002,9.1,17.8,0.4078333333333333,0.0074
773,1998-08-05,0.016166666666666666,105.0,10.3,1.0,0.1998333333333333,0.002,8.3,15.9,0.4078333333333333,0.0074
774,1998-08-05,0.01,104.0,8.3,1.0,0.288,0.002,7.6,13.9,0.509,0.0068
775,1998-08-05,0.016166666666666666,103.0,7.0,1.0,0.1998333333333333,0.002,7.4,11.8,0.4078333333333333,0.0074
776,1998-08-05,0.016166666666666666,103.0,6.0,1.0,0.1998333333333333,0.002,7.3,11.0,0.4078333333333333,0.0074
777,1998-08-05,0.016166666666666666,103.0,5.6,1.0,0.1998333333333333,0.002,7.3,10.3,0.4078333333333333,0.0074
778,1998-08-05,0.016166666666666666,102.0,5.5,1.0,0.1998333333333333,0.002,7.3,9.7,0.4078333333333333,0.0074
779,1998-08-05,0.01,102.0,4.8,1.0,0.345,0.002,7.3,9.4,0.504,0.0063
780,1998-08-05,0.016166666666666666,102.0,4.4,1.0,0.1998333333333333,0.002,7.3,9.0,0.4078333333333333,0.0074
781,1998-08-05,0.016166666666666666,102.0,4.1,1.0,0.1998333333333333,0.002,7.3,8.7,0.4078333333333333,0.0074
782,1998-08-05,0.016,108.0,0.63,1.0,0.276,0.002,7.2,8.3,0.484,0.0084
783,1998-08-05,0.041,108.0,0.55,1.0,0.243,0.002,7.2,8.3,0.488,0.0116
786,1998-09-08,0.01,108.0,9.2,0.0,0.02,0.002,8.7,22.5,0.2,0.005
787,1998-09-08,0.03983333333333333,109.0,9.0,0.0,0.16783333333333336,0.0039000000000000003,8.7,22.6,0.39166666666666666,0.023616666666666664
788,1998-09-08,0.03983333333333333,109.0,8.9,0.0,0.16783333333333336,0.0039000000000000003,8.7,22.5,0.39166666666666666,0.023616666666666664
789,1998-09-08,0.03983333333333333,109.0,8.8,0.0,0.16783333333333336,0.0039000000000000003,8.7,22.5,0.39166666666666666,0.023616666666666664
790,1998-09-08,0.01,109.0,9.0,0.0,0.02,0.002,8.6,22.5,0.19,0.005
791,1998-09-08,0.03983333333333333,110.0,9.0,0.0,0.16783333333333336,0.0039000000000000003,8.6,22.4,0.39166666666666666,0.023616666666666664
792,1998-09-08,0.03983333333333333,110.0,9.0,0.0,0.16783333333333336,0.0039000000000000003,8.6,22.3,0.39166666666666666,0.023616666666666664
793,1998-09-08,0.03983333333333333,110.0,9.0,0.0,0.16783333333333336,0.0039000000000000003,8.6,22.1,0.39166666666666666,0.023616666666666664
794,1998-09-08,0.03983333333333333,108.0,9.2,0.0,0.16783333333333336,0.0039000000000000003,8.6,21.0,0.39166666666666666,0.023616666666666664
795,1998-09-08,0.03983333333333333,106.0,10.7,0.0,0.16783333333333336,0.0039000000000000003,8.3,18.9,0.39166666666666666,0.023616666666666664
796,1998-09-08,0.03983333333333333,105.0,10.0,0.0,0.16783333333333336,0.0039000000000000003,8,17.8,0.39166666666666666,0.023616666666666664
797,1998-09-08,0.03983333333333333,105.0,9.9,0.0,0.16783333333333336,0.0039000000000000003,7.9,17.5,0.39166666666666666,0.023616666666666664
798,1998-09-08,0.03983333333333333,104.0,9.5,0.0,0.16783333333333336,0.0039000000000000003,7.7,16.5,0.39166666666666666,0.023616666666666664
799,1998-09-08,0.03983333333333333,104.0,8.9,0.0,0.16783333333333336,0.0039000000000000003,7.5,15.6,0.39166666666666666,0.023616666666666664
800,1998-09-08,0.01,104.0,9.3,0.0,0.164,0.002,7.8,16.0,0.354,0.0056
801,1998-09-08,0.03983333333333333,103.0,7.6,0.0,0.16783333333333336,0.0039000000000000003,7.3,14.1,0.39166666666666666,0.023616666666666664
802,1998-09-08,0.03983333333333333,103.0,6.3,0.0,0.16783333333333336,0.0039000000000000003,7.2,13.1,0.39166666666666666,0.023616666666666664
803,1998-09-08,0.03983333333333333,103.0,5.7,0.0,0.16783333333333336,0.0039000000000000003,7.2,12.6,0.39166666666666666,0.023616666666666664
804,1998-09-08,0.03983333333333333,103.0,5.4,0.0,0.16783333333333336,0.0039000000000000003,7.2,11.9,0.39166666666666666,0.023616666666666664
805,1998-09-08,0.03983333333333333,103.0,5.0,0.0,0.16783333333333336,0.0039000000000000003,7.2,11.5,0.39166666666666666,0.023616666666666664
806,1998-09-08,0.03983333333333333,104.0,2.8,0.0,0.16783333333333336,0.0039000000000000003,7.1,10.8,0.39166666666666666,0.023616666666666664
807,1998-09-08,0.03983333333333333,103.0,3.1,0.0,0.16783333333333336,0.0039000000000000003,7.1,10.4,0.39166666666666666,0.023616666666666664
808,1998-09-08,0.03983333333333333,102.0,3.6,0.0,0.16783333333333336,0.0039000000000000003,7.2,10.0,0.39166666666666666,0.023616666666666664
809,1998-09-08,0.03983333333333333,103.0,3.0,0.0,0.16783333333333336,0.0039000000000000003,7.1,9.7,0.39166666666666666,0.023616666666666664
810,1998-09-08,0.01,103.0,2.6,0.0,0.36,0.002,7.2,9.5,0.511,0.005
811,1998-09-08,0.03983333333333333,102.0,2.4,0.0,0.16783333333333336,0.0039000000000000003,7.1,9.4,0.39166666666666666,0.023616666666666664
812,1998-09-08,0.076,110.0,0.47,0.0,0.254,0.0026,7.1,8.5,0.499,0.0191
813,1998-09-08,0.123,111.0,0.33,0.0,0.189,0.0128,7.1,8.5,0.596,0.102
816,1998-10-07,0.021,110.0,9.5,1.0,0.02,0.002,8.6,17.9,0.237,0.0068
817,1998-10-07,0.018,110.0,9.4,1.0,0.02,0.002,8.6,17.7,0.237,0.0065
818,1998-10-07,0.05283333333333332,110.0,9.1,1.0,0.13066666666666668,0.0036000000000000003,8.5,17.6,0.3605,0.0155
819,1998-10-07,0.05283333333333332,110.0,9.2,1.0,0.13066666666666668,0.0036000000000000003,8.4,17.5,0.3605,0.0155
820,1998-10-07,0.023,110.0,8.7,1.0,0.02,0.002,8.2,17.3,0.236,0.005
821,1998-10-07,0.05283333333333332,106.0,6.2,1.0,0.13066666666666668,0.0036000000000000003,7.3,15.3,0.3605,0.0155
822,1998-10-07,0.05283333333333332,105.0,5.4,1.0,0.13066666666666668,0.0036000000000000003,7.2,13.6,0.3605,0.0155
823,1998-10-07,0.05283333333333332,105.0,4.0,1.0,0.13066666666666668,0.0036000000000000003,7.1,12.9,0.3605,0.0155
824,1998-10-07,0.05283333333333332,105.0,2.9,1.0,0.13066666666666668,0.0036000000000000003,7,12.4,0.3605,0.0155
825,1998-10-07,0.05283333333333332,105.0,2.2,1.0,0.13066666666666668,0.0036000000000000003,7,11.6,0.3605,0.0155
826,1998-10-07,0.05283333333333332,104.0,1.8,1.0,0.13066666666666668,0.0036000000000000003,7,10.8,0.3605,0.0155
827,1998-10-07,0.05283333333333332,104.0,2.2,1.0,0.13066666666666668,0.0036000000000000003,7,10.5,0.3605,0.0155
828,1998-10-07,0.05283333333333332,104.0,1.8,1.0,0.13066666666666668,0.0036000000000000003,7,10.1,0.3605,0.0155
829,1998-10-07,0.05283333333333332,104.0,1.8,1.0,0.13066666666666668,0.0036000000000000003,7,9.9,0.3605,0.0155
830,1998-10-07,0.022,104.0,1.5,1.0,0.384,0.002,7,9.6,0.586,0.0097
831,1998-10-07,0.05283333333333332,104.0,1.0,1.0,0.13066666666666668,0.0036000000000000003,7,8.9,0.3605,0.0155
832,1998-10-07,0.05283333333333332,108.0,0.3,1.0,0.13066666666666668,0.0036000000000000003,7,8.6,0.3605,0.0155
833,1998-10-07,0.055,112.0,0.25,1.0,0.291,0.0033,7.1,8.3,0.494,0.0176
834,1998-10-07,0.178,114.0,0.24,1.0,0.049,0.0103,7.2,8.3,0.373,0.0474
836,1998-11-02,0.01,108.0,9.2,0.0,0.066,0.002,7.8,13.9,0.254,0.0088
837,1998-11-02,0.01,107.0,9.1,0.0,0.058,0.002,7.8,13.7,0.258,0.008
838,1998-11-02,0.01,107.0,9.0,0.0,0.06,0.002,7.7,13.7,0.249,0.0077
839,1998-11-02,0.058666666666666666,107.0,9.1,0.0,0.11566666666666668,0.003616666666666667,7.7,13.7,0.336,0.014899999999999998
840,1998-11-02,0.058666666666666666,107.0,9.1,0.0,0.11566666666666668,0.003616666666666667,7.7,13.7,0.336,0.014899999999999998
841,1998-11-02,0.058666666666666666,107.0,7.8,0.0,0.11566666666666668,0.003616666666666667,7.5,13.3,0.336,0.014899999999999998
842,1998-11-02,0.058666666666666666,104.0,2.0,0.0,0.11566666666666668,0.003616666666666667,7,12.0,0.336,0.014899999999999998
843,1998-11-02,0.058666666666666666,103.0,1.3,0.0,0.11566666666666668,0.003616666666666667,7,10.9,0.336,0.014899999999999998
844,1998-11-02,0.058666666666666666,104.0,0.74,0.0,0.11566666666666668,0.003616666666666667,7,10.3,0.336,0.014899999999999998
845,1998-11-02,0.058666666666666666,104.0,0.44,0.0,0.11566666666666668,0.003616666666666667,7,9.9,0.336,0.014899999999999998
846,1998-11-02,0.01,106.0,0.24,0.0,0.34,0.002,7,9.7,0.473,0.007
847,1998-11-02,0.058666666666666666,105.0,0.21,0.0,0.11566666666666668,0.003616666666666667,7,9.5,0.336,0.014899999999999998
848,1998-11-02,0.058666666666666666,105.0,0.21,0.0,0.11566666666666668,0.003616666666666667,7,9.4,0.336,0.014899999999999998
849,1998-11-02,0.058666666666666666,107.0,0.21,0.0,0.11566666666666668,0.003616666666666667,7,9.2,0.336,0.014899999999999998
850,1998-11-02,0.112,113.0,0.21,0.0,0.15,0.0046,7.1,8.5,0.4,0.0202
851,1998-11-02,0.2,126.0,0.2,0.0,0.02,0.0091,7.2,8.3,0.382,0.0377
853,1998-12-14,0.01,98.4,9.6,3.0,0.316,0.0085,7.5,8.8,0.446,0.0148
854,1998-12-14,0.01,98.2,9.4,3.0,0.316,0.0083,7.6,8.8,0.455,0.0143
855,1998-12-14,0.01,98.1,9.4,3.0,0.315,0.0083,7.6,8.7,0.469,0.0148
856,1998-12-14,0.01,98.0,9.3,3.0,0.303,0.0085,7.6,8.7,0.439,0.0143
857,1998-12-14,0.01,98.0,9.3,3.0,0.297,0.0081,7.6,8.7,0.422,0.0138
858,1998-12-14,0.01,97.9,9.3,3.0,0.297,0.0081,7.6,8.7,0.439,0.0149
860,1999-01-05,0.01,101.0,10.5,19.0,0.411,0.0092,7.7,7.3,0.556,0.0155
861,1999-01-05,0.01,103.0,10.3,19.0,0.406,0.0091,7.7,7.2,0.576,0.0152
862,1999-01-05,0.01,104.0,10.3,19.0,0.42,0.0093,7.8,7.2,0.577,0.0159
863,1999-01-05,0.01,104.0,10.1,19.0,0.422,0.0094,7.8,7.2,0.558,0.0164
864,1999-01-05,0.01,104.0,10.1,19.0,0.416,0.0092,7.8,7.2,0.575,0.0151
865,1999-01-05,0.01,104.0,10.0,19.0,0.412,0.0094,7.8,7.2,0.568,0.0151
867,1999-02-03,0.01,97.1,12.2,15.0,0.536,0.0099,7.4,6.6,0.695,0.0158
868,1999-02-03,0.01,97.0,12.1,15.0,0.538,0.0099,7.4,6.6,0.716,0.0167
869,1999-02-03,0.01,97.2,12.1,15.0,0.535,0.0098,7.4,6.6,0.697,0.0167
870,1999-02-03,0.01,97.1,12.0,15.0,0.534,0.0099,7.4,6.6,0.665,0.0173
871,1999-02-03,0.01,97.1,12.0,15.0,0.532,0.0097,7.4,6.6,0.655,0.0184
872,1999-02-03,0.01,97.2,12.0,15.0,0.535,0.0102,7.4,6.6,0.674,0.0158
874,1999-03-02,0.01,98.0,9.5,0.0,0.564,0.0071,7.6,6.5,0.758,0.0156
875,1999-03-02,0.015,98.0,9.2,0.0,0.561,0.0074,7.6,6.5,0.76,0.0151
876,1999-03-02,0.01,95.0,9.0,0.0,0.573,0.0073,7.6,6.5,0.737,0.015
877,1999-03-02,0.01,95.0,9.3,0.0,0.577,0.0073,7.5,6.5,0.751,0.0141
878,1999-03-02,0.01,95.0,9.2,0.0,0.576,0.0073,7.5,6.5,0.765,0.0153
879,1999-03-02,0.01,97.0,9.0,0.0,0.577,0.0071,7.2,6.5,0.74,0.0164
889,1999-04-06,0.01,87.2,14.0,0.0,0.489,0.002,8.8,8.4,0.681,0.0114
890,1999-04-06,0.01,87.3,13.8,0.0,0.493,0.002,8.8,8.1,0.734,0.0182
891,1999-04-06,0.01,87.2,13.6,0.0,0.491,0.002,8.7,8.0,0.719,0.0154
892,1999-04-06,0.01,87.0,13.2,0.0,0.492,0.002,8.5,7.8,0.695,0.0114
893,1999-04-06,0.01,87.4,11.3,0.0,0.53,0.002,7.9,7.0,0.72,0.0113
894,1999-04-06,0.01,87.6,11.1,0.0,0.543,0.002,7.8,6.9,0.704,0.0155
904,1999-05-05,0.01,104.0,10.5,1.0,0.45,0.002,8.4,11.9,0.619,0.0059
905,1999-05-05,0.01,103.0,11.5,1.0,0.459,0.002,8.4,11.5,0.6,0.0055
906,1999-05-05,0.01,103.0,11.6,1.0,0.457,0.002,8.3,10.5,0.632,0.0067
907,1999-05-05,0.017,102.0,10.8,1.0,0.476,0.002,7.4,7.9,0.644,0.0059
908,1999-05-05,0.023,102.0,9.0,1.0,0.459,0.0023,7.1,7.4,0.693,0.0148
909,1999-05-05,0.024,102.0,9.0,1.0,0.451,0.0023,7.1,7.5,0.641,0.0101
918,1999-06-08,0.01,111.0,10.37,0.0,0.399,0.002,8.2,15.9,0.589,0.008
919,1999-06-08,0.01,111.0,10.46,0.0,0.396,0.002,8.2,15.8,0.612,0.0083
920,1999-06-08,0.01,111.0,10.35,0.0,0.43166666666666664,0.002,8.2,15.5,0.6065,0.007166666666666666
921,1999-06-08,0.01,111.0,10.13,0.0,0.43166666666666664,0.002,8,14.7,0.6065,0.007166666666666666
922,1999-06-08,0.01,110.0,10.07,0.0,0.43166666666666664,0.002,7.8,13.7,0.6065,0.007166666666666666
923,1999-06-08,0.01,109.0,10.31,0.0,0.422,0.002,7.7,12.8,0.6,0.0064
924,1999-06-08,0.01,109.0,10.01,0.0,0.43166666666666664,0.002,7.6,11.9,0.6065,0.007166666666666666
925,1999-06-08,0.01,108.0,9.4,0.0,0.469,0.002,7.3,9.5,0.61,0.0054
926,1999-06-08,0.01,107.0,7.25,0.0,0.468,0.002,7.1,8.6,0.625,0.0062
927,1999-06-08,0.01,106.0,5.87,0.0,0.436,0.002,6.8,8.5,0.603,0.0087
930,1999-07-07,0.01,111.0,10.44,0.0,0.3,0.002,8.5,17.3,0.526,0.0292
931,1999-07-07,0.01,111.0,10.36,0.0,0.294,0.002,8.5,17.4,0.518,0.0091
932,1999-07-07,0.01,111.0,10.36,0.0,0.35766666666666663,0.002,8.5,17.3,0.5635,0.011983333333333332
933,1999-07-07,0.01,111.0,10.33,0.0,0.35766666666666663,0.002,8.5,17.3,0.5635,0.011983333333333332
934,1999-07-07,0.01,111.0,10.32,0.0,0.302,0.002,8.5,17.3,0.525,0.0061
935,1999-07-07,0.01,111.0,10.29,0.0,0.35766666666666663,0.002,8.5,17.2,0.5635,0.011983333333333332
936,1999-07-07,0.01,109.0,9.55,0.0,0.35766666666666663,0.002,7.7,12.5,0.5635,0.011983333333333332
937,1999-07-07,0.01,109.0,7.86,0.0,0.35766666666666663,0.002,7.4,11.6,0.5635,0.011983333333333332
938,1999-07-07,0.01,108.0,9.07,0.0,0.35766666666666663,0.002,7.3,11.0,0.5635,0.011983333333333332
939,1999-07-07,0.01,107.0,7.2,0.0,0.488,0.002,7.2,9.5,0.67,0.005
940,1999-07-07,0.01,106.0,3.44,0.0,0.382,0.002,6.9,8.6,0.566,0.0113
941,1999-07-07,0.01,106.0,3.33,0.0,0.38,0.002,6.8,8.6,0.576,0.0112
964,1999-08-03,0.01,108.0,10.48,0.0,0.11,0.002,8.9,22.8,0.365,0.0066
965,1999-08-03,0.015333333333333332,108.0,10.47,0.0,0.29150000000000004,0.0023333333333333335,8.9,22.7,0.596,0.041916666666666665
966,1999-08-03,0.015333333333333332,108.0,10.37,0.0,0.29150000000000004,0.0023333333333333335,8.9,22.6,0.596,0.041916666666666665
967,1999-08-03,0.015333333333333332,108.0,10.33,0.0,0.29150000000000004,0.0023333333333333335,8.9,22.5,0.596,0.041916666666666665
968,1999-08-03,0.01,108.0,10.78,0.0,0.111,0.002,8.9,21.9,0.758,0.123
969,1999-08-03,0.015333333333333332,106.0,11.46,0.0,0.29150000000000004,0.0023333333333333335,8.9,19.5,0.596,0.041916666666666665
